url.host,url,size_download,speed_download,time_starttransfer,time_total
speedtest.kapsi.fi,http://speedtest.kapsi.fi/1G,1048576000,124100205,0.025724,8.449430
ftp.funet.fi,ftp://ftp.funet.fi/dev/1GBnull,1073741824,122308893,0.028587,8.778935
sto-se-ping.vultr.com,https://sto-se-ping.vultr.com/vultr.com.1000MB.bin,1048576000,114633674,0.064856,9.147190
lon-gb-ping.vultr.com,https://lon-gb-ping.vultr.com/vultr.com.1000MB.bin,1048576000,32305448,0.153292,32.458178
ams-nl-ping.vultr.com,https://ams-nl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,92274577,0.132648,11.363650
blr-in-ping.vultr.com,https://blr-in-ping.vultr.com/vultr.com.1000MB.bin,1048576000,22515795,0.537792,46.570684
sgp-ping.vultr.com,https://sgp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,17462957,0.706166,60.045728
hnd-jp-ping.vultr.com,https://hnd-jp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,8493629,0.923440,123.454414
syd-au-ping.vultr.com,https://syd-au-ping.vultr.com/vultr.com.1000MB.bin,1048576000,11937087,0.979518,87.841862
waw-pl-ping.vultr.com,https://waw-pl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,88580454,0.261272,11.837555
par-fr-ping.vultr.com,https://par-fr-ping.vultr.com/vultr.com.1000MB.bin,1048576000,73706094,0.174309,14.226449
ga-us-ping.vultr.com,https://ga-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,12669622,0.435175,82.763002
lax-ca-us-ping.vultr.com,https://lax-ca-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,5334815,0.547132,196.553380
hon-hi-us-ping.vultr.com,https://hon-hi-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,17452458,0.701552,60.081852
la.speedtest.clouvider.net,https://la.speedtest.clouvider.net/1g.bin,1048576000,1968709,0.668569,532.621044
atl.speedtest.clouvider.net,https://atl.speedtest.clouvider.net/1g.bin,1048576000,2306944,0.489441,454.530184
nyc.speedtest.clouvider.net,https://nyc.speedtest.clouvider.net/1g.bin,1048576000,2817297,0.536317,372.192118
man.speedtest.clouvider.net,https://man.speedtest.clouvider.net/1g.bin,1048576000,60059015,0.291056,17.459094
ams.speedtest.clouvider.net,https://ams.speedtest.clouvider.net/1g.bin,1048576000,74782325,0.161670,14.021709
fra.speedtest.clouvider.net,https://fra.speedtest.clouvider.net/1g.bin,1048576000,3998657,0.165242,262.231993
dal.speedtest.clouvider.net,https://dal.speedtest.clouvider.net/1g.bin,1048576000,4843670,0.565126,216.483765
ash.speedtest.clouvider.net,https://ash.speedtest.clouvider.net/1g.bin,1048576000,4328590,0.451179,242.244212
phx.speedtest.clouvider.net,https://phx.speedtest.clouvider.net/1g.bin,1048576000,4371052,0.652840,239.890952
