Test source,URL,Date completed,Speed_MBps
Hetzner,https://man.speedtest.clouvider.net/1g.bin,2024-03-06 14:19:15,63.8
Hetzner,https://ams.speedtest.clouvider.net/1g.bin,2024-03-06 14:19:27,82.1
Hetzner,https://fra.speedtest.clouvider.net/1g.bin,2024-03-06 14:19:37,110
Hetzner,https://dal.speedtest.clouvider.net/1g.bin,2024-03-06 14:20:37,16.8
Hetzner,https://ash.speedtest.clouvider.net/1g.bin,2024-03-06 14:21:26,20.4
Hetzner,https://phx.speedtest.clouvider.net/1g.bin,2024-03-06 14:22:30,16.0
OLKA/Cinia,https://sto-se-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 15:54:31,23.8
OLKA/Cinia,https://lon-gb-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 15:55:17,21.7
OLKA/Cinia,https://ams-nl-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 15:56:01,23.1
OLKA/Cinia,https://blr-in-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 15:57:06,15.4
OLKA/Cinia,https://sgp-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 15:59:24,7.32
OLKA/Cinia,https://hnd-jp-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 N/A,<1
OLKA/Cinia,https://syd-au-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:47:23,8.41
OLKA/Cinia,https://waw-pl-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:48:04,24.1
OLKA/Cinia,https://par-fr-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:48:50,22.1
OLKA/Cinia,https://ga-us-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:49:41,19.8
OLKA/Cinia,https://lax-ca-us-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:50:43,16.4
OLKA/Cinia,https://hon-hi-us-ping.vultr.com/vultr.com.1000MB.bin,2024-03-06 16:52:08,11.9
OLKA/Cinia,http://speedtest.kapsi.fi/1G,2024-03-06 16:52:51,23.2
